Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
 E Prima di AZV y tarifa di belasting a ser baha caba pa pensionadonan por ta mas alivia	However, the AZV and tax tariffs have been reduced to provide some relief to the retired seniors
Infrastructura ta otro punto di enfoke pa motibo cu mester sigura cu tur e edificionan di departamento di Gobierno, banconan y caya grandi etc. ta accesibel pa nos hendenan di edad y nos hendenan cu tin un deficiencia fisico	Infrastructure is another focal point of the government as they need to assure that all Government buildings, banks, main streets, etc. should be accessible to seniors of all ages and those disabled
E concepto lo ta uno casi identico na esun di Sociaal Economische Raad (SER) 	The concept is similar to that of the Social Economic Council (SER)
SER manera ta conoci ta un grupo di persona apunta pa sector priva y sector publico cu via un secretariado ta duna conseho na Gobierno riba nivel economico y social	The SER is a group of experts appointed by both the private and public sector that provides economic and social advise to the government through their secretariat
e tema di aumento di salario minimo semper mester bay via SER	The increase in the minimum wage should always be advised by the SER
Mirando e exito di SER, Gobierno kier bin cu Ouderenraad p’asina nos grandinan tambe por haña e atencion necesario	Given the success of the SER, the government wants to establish the National Council on Aging, so they can be included in the decision regarding all seniors
Vergrijzing’ no ta un problema sino mas bien un desaroyo den bida hopi bunita ora cu ciudadanonan yega na un edad halto	Aging is not considered a problem, rather it is a nice development in life when citizens reach old ages
Gobierno kier duna mas participacion na tur esnan cu a yega na un edad bunita y cu por y kier contribui na bienestar di Aruba”, Prome Minister Evelyn Wever-Croes a enfatisa	The Government wants to include seniors in the decision making so they can also contribute to the wellness of Aruba.”, Prime Minister Evelyn Wever-Croes emphasized
Exprodesk den colaboracion cu Disc Makers ta organisa e seminar “Global Music Distribution: How to reach more fans and profit from your music	Exprodesk in collaboration with Disc Makers is organizing a seminar called “Global Music Distribution; How to reach more fans and profit from your music
E seminario lo tuma lugar diabierna, dia 9 di augustus, 2019, for di 9.30 di mainta te cu 12.00 di merdia na Departamento di Asuntonan Economico, Comercio, y Industria, cu ta situa na L.G Smith Boulevard #160, den edificio di Sun Plaza, riba segundo piso	This seminar will take place on Friday, August 9, 2019, from 9:30 am till 12:00 pm at the DEZHI’s office, located on the second floor of the Sun Plaza Mall
Exprodesk como parti di su proyecto di Industia Creativo ta organisa e seminario aki pa tur musico cu ta desea di siña mas tocante e diferente plataforma di distribucion di musica digital	This seminar will be organized as part of the Creative Industry project of the Exprodesk targeting all musicians who are intrigued to learn more about the different digital music distribution platforms
Sr. Tony van Veen lo papia riba su experiencia amplio riba e area di distribucion di musica digital y lo splica interesadonan exactamente loke nan tin mester (y mester haci) pa asina nan musica yega facilmente na tur e plataformanan grandi di streaming	Mr. Van Veen will share his experience in digital music distribution and will provide all attendees with valuable information on what to do and what they need to make their music reach all the major streaming platforms
Sr. van Veen lo papia tambe tocante con pa haci ganashi cu musica, publicacion y ingreso via YouTube, y otro formanan con pa aumenta ingreso di nos artistanan	 Mr. van Veen will also talk about profitability in the music industry, publication and profits using Youtube and other platforms
Tony van Veen a crece na Aruba y ta biba actualmente na Merca for di unda e ta fungi como e CEO di e compañia lider den e industria di fabricacion di musica, Disc Makers	Tony van Veen grew up in Aruba and is currently residing in the USA where he holds the position of CEO of the leading company in music creation, Disc Makers
E tin mas di 30 aña di experiencia den liderasgo den diferente aspecto di e industria di musica y di medionan di comunicacion, incluyendo musica digital, fabricacion y operacion, derecho di autor, imprenta y distribucion	He has over 30 years of experience in multiple leadership positions throughout a variety of aspects within the music and media industry including digital music, fabrication, and operations, author rights, prints, and distribution
E la administra tambe CD Baby, Disc Makers, BookBaby, AdRev y Merchly	He is the administrator for CD BabyCD Baby, Disc Makers, BookBaby, AdRev, and Merchly
Su companianan a traha cu miles di musico, cineasta y autor pa yuda nan pone nan canticanan, videonan y contenido escrito riba mercado	His companies work with thousands of musicians, moviemakers and authors, providing them the assistance in pushing their music, movies and written contents on the market
Peticion di expresion di interes pa un proyecto piloto di sistema di monitoreo electronico por medio di leasing	Request for Expression of Interest for a pilot project of Electronic Monitoring System through leasing
Pa por aplica e leynan penal, coreccional y di inmigracion, Ministerio di Husticia, Seguridad y Integracion di Aruba (MHSIA) ta aspira di inicia urgentemente un proyecto piloto pa monitoreo electronico cu ta aplicabel pa suhetonan cu sancionnan penal c.q. administrativo	For the enforcement of penal, correctional and immigration laws, the Ministry of Justice, Security and Integration of Aruba (MJSIA) is urgently seeking to start a pilot project for electronic monitoring of applicable penal c.q. administrative subjects
Mas informacion por haya den e documento adhunto	For more information please read the following document
46 studiante di UA ta obtene certificacion di Academic Foundation Year	46 students at the UA obtain Academic Foundation Year certification
Riba 8 di juli 46 studiante di Universidad di Aruba a ricibi nan certificado despues di a completa e Academic Foundation Year exitosamente	On July 8, 46 students at the University of Aruba received the certificates for the successful completion of the Academic Foundation Year
Cu esaki nan a completa nan prome aña den educacion avansa, un aña den cual na a desaroya nan mes academicamente, ariba tereno di idioma, escogencia di nan estudio y tereno personal	With this, they completed their first year in higher education, a year in which they worked on academic skills, language skills, study choice, and personal development
E aña aki 65 studiante a cuminsa cu e programa, di cual 54 a keda den e programa te na final	This year 65 students started the program, 54 of which finished the year
Durante e ceremonia, bou guia di program-administrator Kevin Richardson, studiantenan Stephany Lewis y Amanda Croes a comparti con e programa a influencia nan desaroyo personal	During the ceremony led by program administrator Kevin Richardson, students Stephany Lewis and Amanda Croes testified about the impact of the program on their personal development
Nan a enfatisa e desaroyo cu nan a experiencia como studiantenan di e programa, no solamente ariba tereno di conocemento y habilidad, pero tambe un desaroyo di nan confiansa y determinacion pa cu e escogencianan cu nan ta haciendo	They emphasized the growth and development that they experienced as students of the program, not only in terms of content and knowledge but also in their personal development in self-confidence and certainty about the choices they make
Nan ta haya e oportunidad pa tuma diferente vaknan di otro facultadnan na universidad y tambe nan a haya estimulo pa haci un periodo di stage y tuma cursonan online 	To this end, they are given the opportunity to participate in courses at the various faculties of the university and are also encouraged to follow internships and online education
Di e studiantenan cu a completa e Academic Foundation Year cu exito, mita di nan ta keda na UA pa sigui nan estudio na Aruba, e otro mita ta opta pa sigui studia na Europa	Of the students who successfully completed the Academic Foundation Year, half remain for further studies at the UA in Aruba, the other half goes to Europe
Un par di studiante cu ya a obtene un cualificacion profesional a opta pa subi e mercado laboral	some students who already had a professional qualification chose to go to work
Universidad di Aruba ta orguyoso di e resultado di e studiantenan y ta anticipa e comienso di e di cuater cohort di e Academic Foundation Year na augustus 2019	The University of Aruba is proud of the results of the students and looks forward to the start of the fourth cohort of the Academic Foundation Year in August 2019
Soft launch di e website di gobierno renoba	Soft launch revamped government website
Riba  diamars, 16 di juli 2019 ta tuma luga e soft launch di e website renoba di gobierno di Aruba	On Tuesday, July 16, 2019, the soft launch of the revamped website of the government of Aruba will take place
Nabegacion riba e website ta mas facil, loke ta optimalisa e experiencia di e usuario y tambe a evita mas tanto cu ta posibel uzo di lenguahe burocratico	The navigation is more user-friendly, allowing an optimal user’s experience and government jargon is avoided as much as possible
Ainda ta trahando riba e ultimo detayenan riba e webite, pa cual nos kier pidi comprension	Work is still being done on the latest details on the website; we ask your understanding for this
Ta trata di un cantidad hopi grandi di informacion cu tin cu pone den e structura nobo	 This is because a large amount of information has been transferred to the new structure
 Esaki ta pa duna duna un servicio mihor y mas completo posible	 Just to be able to provide you with the best and most complete service possible
Aunke e no ta probabel, por surgi algo inespera durante cu e website renoba ta den aire	 Although it is unlikely, you may find something unexpected after the refurbished website is live and functional
Meta di e website Land Aruba ta pa duna informacion tocante di  producto y servicio di Gobierno di Aruba na e ciudadano di Aruba	The purpose of the government website of Aruba is to provide information regarding the products and services of the Government of Aruba to the Aruban citizen
E website renoba ta keda dividi den tema; e sistema di nabegacion ta a base di tema cu e ciudadano tin experiencia cu ne	The website maintains its thematic layout: the navigational structure is in fact based on themes that citizens can relate to
Ademas di informacion (segun temanan), e ciudadano ta interesa di haya informacion concreto tocante producto y servicio riba e website	n addition to general information (presented thematically), citizens are mainly interested in the concrete product information on the website
E deseo y pregunta di e usuario ta e punto di salida	The wishes and demands of the user are the starting point
Si e informacion no ta disponibel, por haci pregunta of pidi informacion adicional via un formulario di feedback	If the information is not available, then one can ask questions via an online feedback form and/ or ask for more information
E website ta ofrece un resumen cla di e producto y servicionan cu gobierno ta ofrece, p’asina e usuario por haya e informacion cu e ta busca lihe	The website offers a clear overview of the products and services that the government provides so that the site visitor quickly finds what he/she is looking for
Tin cu remarca cu ainda e loket digital no ta completo	It should be noted that the digital counter is not complete as yet
 Meta ta pa yena e loket mas pronto cu ta posibel cu producto y servicio	The objective is for the digital counter, to be as complete as soon as practicable
E parti Ingles ta yena parcialmente cu mas tanto informacion tocante Haci negoshi y traha	The English site is not yet fully completed and contains mostly information on Doing Business and Work
Meta ta pa yena e website na Ingles cu informacion tambe	The goal is to provide the English website also fully with information
Cu gran dedicacion y entusiasmo trahadonan di Departamento di Informatica y Automatisacion,   Servicio Informativo di Gobierno y SIM Caribbean a traha pa e website renoba bira un realidad	The staff of the Department of Information and Automation, the Government Information Services and SIM Caribbean worked with dedication and enthusiasm on the realization of the refurbished website
Exprodesk den colaboracion cu NEX Consulting ta organisa e tayer “From Zero to Hero”	From Zero to Hero”; a workshop by Exprodesk and NEX Consulting
Departamento di Asuntonan Economico, Comercio y Industria (DEZHI) y su unidad Exprodesk ta organisa den conhunto cu NEX Consulting e tayer “From Zero to Hero, The exporter mindset: how to profit from your talents”	The Department of Economic Affairs, Commerce and Industry (DEZHI), and its Exprodesk unit in collaboration with NEX Consulting are organizing a workshop called “From Zero to Hero, the exporter mindset; how to profit from your talents”
E tayer lo tuma lugar diahuebs, dia 18 di juli, 2019, for di 9or di mainta te cu 1or di merdia na DEZHI, cu ta situa na edificio di Sun Plaza, riba segundo piso	This workshop will be held on the 18th of July 2019 from 9:00 am to 1:00 pm at the office of the DEZHI, located on the second floor of the Sun Plaza Mall
 E meta di e tayer aki ta pa promove exportacion y brinda personanan den e Industria Creativo y den e Sector di Servicio, e oportunidad y conocemento necesario pa saca probecho di nan talento y creatividad	The objective of this workshop is to help promote export and provide much-needed opportunities and knowledge to those in the creative and service industry, so they can expose their talent and creativity
Alabes e tayer aki, lo stimula y brinda guia na nos empresarionan interesa den exporta nan producto of servicionan	This workshop will also serve as a stimulus and guide for those wanting to export their products or services
E Industria Creativo y e Sector di servicio ta sectornan cu potencial pa sigui desaroya pa asina exporta creacionnan local 	The creative industry and service sector are potential sectors that are worthy of further development in order to help export the local creations
Exprodesk como un ‘Export Promotion Desk’ tin como obhetivo pa contribui na un desaroyo economico sostenibel atrabes di e capacitacion di nos empresarionan cu interes pa exporta door di duna informacion, guia, consulta, training y facilita diferente tayernan cu topiconan actual	The mission of the ‘Export Promotion Desk’ also known as the Exprodesk, is to help contribute with sustainable economic development by educating the entrepreneurs interested in exporting their goods by providing the needed information, guidance, consultation, training and by organizing workshops on the latest topics
Publicacion ‘The Archeology of Aruba: The Pictographs and Petroglyphs’ ta di gran aporte pa nos herencia cultural	Publication “The Archeology of Aruba; The Pictographs and Petroglyphs is of great value to our cultural heritage
E buki aki ta un compilacion di resultado di investigacion cu e arkeologonan sr. Aad Versteeg y sr. Harold Kelly a haci di e pinturanan riba baranca di e pueblo indigena cu tabata biba antes na Aruba	This book is a compilation of the results of the investigation made by archeologist Mr. Aad Versteeg and while Mr. Harold Kelly,  replicated the drawings on the rocks of the indigenous inhabitants in Aruba
The Archeology of Aruba: The Pictographs and Petroglyphs’ ta un proyecto di gran balor pa Aruba	The Archeology of Aruba: The Pictographs and Petroglyphs’ is of great value to Aruba
Deseo di e Minister di Finansa, Asuntonan Economico y Cultura, ta cu e trabounan di investigacion aki por aporta pa un dia Aruba por figura riba e World Heritage List di UNESCO	The Minister of Finance, Economic affairs and Culture, hopes that these results will help position Aruba on the World Heritage list of UNESCO
Pa asina por mustra mundo di e patrimonio cultural unico cu nos a hereda di nos pueblo indigena	so we can show the world our unique cultural heritage inherited from our indigenous ancestors
Pero prome cu nos yega asina leu, nos mester cuminsa educa y conscientisa nos pueblo cu ta hunto nos tin cu proteha y conserva loke ta nos herencia cultural	Before all, we need to educate our community and create awareness that we as a country have to protect and preserve our cultural heritage
E publicacion aki ta duna nos informacion pa asina nos futuro generacion por siña aprecia y disfruta di nos historia y nos pinturanan di Aruba riba baranca	 This publication serves as a good instrument to teach the next generations to appreciate and enjoy the history and rock drawings of Aruba
The Archeology of Aruba: The Pictographs and Petroglyps’ ta un adkisicion di gran balor pa nos Museo Arkeologico	The Archeology of Aruba: The Pictographs and Petroglyps is a great asset to the Archeological Museum
Frontera cu Venezuela ta sigui cera	Aruba will not open its borders with Venezuela
Premier Evelyn Wever-Croes durante e conferencia di prensa di dialuna a anuncia cu Aruba no ta habri frontera cu Venezuela	During her weekly press conference on Monday, the Prime Minister Evelyn Wever-Croes said Aruba would not open its borders with Venezuela
Manera ya conoci, na februari ultimo Venezuela a cera frontera cu Aruba, Boneiro y Corsou, y dia 10 di mei ultimo Venezuela a anuncia cu lo habri e frontera cu Aruba so	As known, last February Venezuela closed its borders with Aruba, Bonaire and Curacao, whereas on May 10, Venezuela announced that it will open its border, however only with Aruba
Na e momento ey Gobierno di Aruba a cera e frontera cu Venezuela, mirando e fluho migratorio creciente, y mirando cu no a habri frontera cu Corsou y Boneiro	At that moment, Aruba closed its border with Venezuela, taking into account the increasing migrants influx and the fact that Venezuela did not open its border with Curacao and Bonaire
Premier a elabora riba e siguiente puntonan	The Prime Minister addressed the following issues
Gobierno di Aruba ta consciente cu no por tene e frontera cera pa semper, y p'esey ta haciendo preparativonan pa si yega asina leu un dia Aruba por introduci e ESTA di Aruba, den cual un persona cu kier bin Aruba for di Venezuela, mester aplica pa un ESTA online, similar na e ESTA cu nos ta aplica pa bay Merca	The Government of Aruba is aware that it cannot close the border indefinitely, for a reason it is making the necessary preparations to introduce an ESTA system in Aruba, when prior to visiting Aruba from Venezuela, the traveler must apply for an ESTA online, this is a similar system to the ESTA where Aruba citizens must apply to go to the US.
 Di e forma aki por controla miho ken y cuanto hende ta drenta Aruba for di Venezuela	This way one can get a better control on who and on the number of people entering Aruba via Venezuela
E ley ta wordo prepara awo y tambe e sistema automatisa pa por maneha e ESTA	The legislation and the automation system that will manage ESTA is being prepared now
Gobierno ta spera cu e proceso di preparacion por keda cla den e siguiente dos lunanan	 The Government foresees that the preparation process will take two months
Tanten e ESTA no ta ‘in place’ lo no habri frontera cu Venezuela	As long as the ESTA is not in place, the borders will remain closed
Gobierno a ricibi un peticion di Aruba Airlines pa por haci cierto biahenan di transito di Venezuela pa Merca via Aruba, como un excepcion riba e ciere di frontera	The Government received a request from Aruba Airlines to operate transit flights from Venezuela to the US via Aruba, as an exemption on the border closing
Gobierno ta hopi preocupa cu e situacion aki, y ta buscando forma pa evita cu Aruba Airlines mester cera	This situation deeply concerns the government and it is looking for ways to avoid the cease of operation of Aruba Airlines
Un peticion similar a wordo haci tambe pa e compania cu ta opera e airport chikito pa avioneta priva	The company that operates the general aviation terminal for small aircraft also made a similar request
No ta asina facil pa djis duna un excepcion, y p'esey Gobierno ta tratando e tema aki cu e prioridad y cautela necesario	Exceptions to the border closure cannot simply be given and therefore he Government is handling this topic with priority and necessary caution
Prijsnan Maximo 6 di juli 2019	Prijsnan Maximo 6 di juli 2019
 Departamento di Asunto Economico ta informa tocante e prijsnan maximo p’e periodo aki	Department of Economic Affairs announces the maximum prices for the coming period
Entrante 6 di juli 2019 a fiha e prijsnan maximo pa diferente producto	As per July 6, 2019 the following prices are established for various products
E prijsnan maximo stipula ta inclui BBO,  BAZV y BAVP	The established maximum sales prices include BBO, BAZV and BAVP
Na caha di un supermercado no por bolbe cobra BBO, BAZV y BAVP riba e productonan regula	Grocers are not allowed to calculate BBO, BAZV and BAVP again on the regulated products at checkout
Pa cualkier keho por yama tel	If you have a complaint please call tel
Macutu di compras 6 di juli 2019	Price comparison July 6, 2019
Regularmente Departamento di Asunto Economico ta haci un observacion di prijs den diferente supermercado na Aruba y ta publica esaki den corantnan local	The Department of Economic Affairs regularly carries out price comparison in various supermarkets on Aruba and publishes this information in the local newspapers
E meta ta pa yuda e consumidor haya un comparacion di prijs di diferente producto basico	The purpose of this price observation is among others to give the consumer an overview of the price differences of various basic consumer goods
Den e documento adhunto “macutu di compras 6 di juli 2019” por mira e observacion di prijs cu a tuma luga entre 2 y 3 di juli 2019	In the attached document "macuto di compras July 6, 2019" you will find the price comparison that was made on July 2 and 3, 2019
Lo tene Aruba Maker Expo riba 7 di juli, 2019 na Biblioteca na Playa	Aruba Maker Expo will take place at the library on July 7, 2019
Riba dia 7 di juli 2019 for di 11or am te cu 8or pm lo tin e evento ‘Aruba Maker Expo’ na Biblioteca Nacional na Playa	On Sunday, July 7, 2019, from 11.00am until 8.00 pm, the Aruba Maker Expo will be held at the National Library in Oranjestad
Esaki ta un evento pa celebra fin di aña escolar 2018-2019 y Mo-B - Mobile Tech Lab -su participacion y exitonan den e aña escolar aki	The event celebrates the end of the school year 2018-2019 and the success of Mo-B - Mobile Tech Lab during this school year
tambe celebra e cultura di innovacion y experimentacion na Aruba	In addition, it celebrates the innovation and experimentation culture in Aruba
Durante e aña escolar Mo-B Lab, e bus di innovacion di Gobierno di Aruba, cu apoyo di OCTA y Union Europeo, a bishita 16 scol; introduciendo mas cu 6000 studiante rond di Aruba na diferente tecnologia y alabes promoviendo innovacion	During the school year Mo-Lab, the innovation bus of the government of Aruba, with the support of OCTA and the European Union visited 16 schools, introducing more than 6000 students to different technologies while at the same time promoting innovation
Pa clausura y celebra e aña escolar, Mo-B lo ta presente na e ‘Maker Expo’, unda cu bishitantenan lo por explora e Lab aki	To end and celebrate the school year Mo-B will also be present at the Maker Expo, where visitors will have the opportunity to explore this lab
E ‘Maker Expo’ ta conta cu participacion di mas cu 40 participante, cu diferente exposicionnan, workshops, y varios otro actividad	The ‘Maker Expo’ has more than 40 participants with various exhibitions, workshops, and activities
E expo ta inclui participantenan di	Participants at the expo include
Lo tin diferente workshops pa entre otro	There will be different workshops among others
Siña traha flie	How to make a kite
Coding’ cu Hour of Code	coding’ with Hour of Code
introduccion na ‘electro’ cu Brenchie's Lab	introduction to ‘electro’ with Brenchie's Lab
con pa traha bo mesun producto cu zero waste	how to make zero waste products
con pa colecciona cuminda for di mondi cu Taki	how to forage for food in the forest with Taki
E  lo ta un evento sigur cu hopi cos pa wak y haci, pa personanan di tur edad	 It is an event with lots of interesting things for persons of all ages to see and do
Futura ta invita pueblo henter pa ta parti di e ‘Maker Expo’ cu ta tuma luga na riba 7 di juli entre 11or di mainta y 8or di anochi	Futura invites everyone to be part of the Maker Expo, which takes place on July 7 between 11 o’clock in the morning and 8 o’clock in the evening
 Bin celebra cu nos hunto cu mas di 40 'makers' y diferente proyectonan di arte, sciencia y tecnologia	 Come celebrate with more than 40 makers various projects of art, science, and technology
Prome Minister Evelyn Wever-Croes tabata presente na toma di mando di President nobo di Panama	Prime Minister Evelyn Wever-Croes was present at the installation of the new president of Panama
Riba dialuna 1 di juli, 2019, e president nobo di Panama dr. Nito Cortizo a keda instala	On Monday, July 1, 2019, the new president of Panama Dr. Nito Cortizo was installed
Prome Minister Evelyn Wever-Croes a representa Aruba y Reino	Prime Minister Evelyn Wever-Croes represented Aruba and the Kingdom
 President Cortizo ta di e partido PRD, un social democrata, cu tin como punto central combatimento di pobresa y desigualidad social	President Cortizo comes from the PRD party, a social democrat, with a focus on combating poverty and social inequality
Ademas Prome Minister Wever-Croes  a hiba combersacion cu e Minister nobo di Asunto Exterior Sr. Alejandro Ferrer como tambe cu e vice presidente di Panama Sr. José Gabriel Carrizo	Prime Minister Wever-Croes also met with the new Panamanian Minister of Foreign Affairs. Alejandro Ferrer and also held talks with the vice-president of Panama, Mr. José Gabriel Carrizo
Tin un laso estrecho entre Aruba, Corsou, Reino y Panama, pero por traha riba mas area	There is a close relationship between Aruba, Curacao and the Kingdom and Panama, but there is still room for cooperation on more fronts
Hulanda tin un par di proyecto ambicioso andando na Panama	 The Netherlands has a number of ambitious projects going on in Panama
Pa loke ta trata Aruba por haci hopi mas tocante turismo, specialmente turismo crucero	And as far as Aruba is concerned, much more can be done jointly with regard to tourism, in particular, cruise tourism
Panama, Aruba y Corsou ta situa na e parti sur di e ruta Caribense, y actualmente tin plan pa introduci otro linea di crucero riba e ruta aki	Panama, Aruba, and Curacao are on the southern Caribbean route, and there are currently plans to use a second cruise line on this route
President Cortizo a gradici Prome Minister Wever-Croes pa su presencia y pa e cooperacion entre e paisnan	President Cortizo thanked Premier Wever-Croes for her presence and for the cooperation between the countries
Prome Minister Wever-Croes tabata riba e podium hunto cu Rey Felipe di Spaña, President di Colombia, Republica Dominicana, Peru, Honduras, Guatemala, Bolivia, Republica Arabe Saharaui y e premier di  Marokko	 Prime Minister Evelyn Wever-Croes was on stage together with the King of Spain Felipe VI, the presidents of Colombia, Dominican Republic, Peru, Honduras, Guatemala, Bolivia, Arab Republic of Saharaui and the Prime Minister of Morocco
Ademas tabata presente delegadonan di 90 país	In addition, delegations from more than 90 other countries were present
E crisis na Venezuela, como tambe e oportunidadnan economico tabata topico di combersacion ente Prome Minister di Aruba y e Presidente Duque di Colombia	The Venezuela crisis was the subject of discussion between the Prime Minister of Aruba and President Duque of Colombia, as well as economic opportunities
Prome Minister di Aruba a duna un splicacion amplio di e maneho economico nobo di Gabinete Wever-Croes y Presidente Duque a invita Prome Minister pa atende un mision comercial na Colombia	Prime Minister Wever-Croes gave an explanation of the new economic policy of Cabinet Wever-Croes and President Duque invited the Prime Minister to go to Colombia on a trade mission
Prome Minister tambe a combersa cu e Rey di Spaña tocante e crisis na Venezuela y con paisnan Europeo por yuda	The Prime Minister also discussed the crisis in Venezuela with the King of Spain and how the European countries can help
Prome Minister a enfatisa atrobe cu e crisis no ta solamente un crisis Venezolano, como tampoco un crisis regional, pero un crisis mundial	The Premier emphasized again that the crisis is not just a Venezuelan crisis, nor a regional crisis anymore, but a global crisis
DPL ta buscando hende pa traha urgente pa un proyecto den e sector di construccion	DPL is urgently looking for employees to work in the construction sector
Abo ta apto y dispuesto pa traha como painter, tegelzetter, drywall finisher of tapijtlegger? Pasa registra na DPL prome cu dia 5 di juli 2019	Do you have skills to work as a painter, tiler, drywall finisher or carpet installer? Come and register at the DPL before July 5, 2019
Departamento di Progreso Laboral (DPL) den cuadro di su meta y enfoke principal pa yuda esnan local haya un trabao ta informa cu ta buscando hende pa traha urgentemente den e sector di construccion	Departamento di Progreso Laboral (DPL) in the context of its goal and focus to help local job seekers to find a job, informs that it is currently looking for people to work urgently in the construction sector
Bo persona ta apto y dispuesto pa traha un periodo den un di e vacatura nan menciona? Bo tin experencia caba haciendo e trabao nan aki? Pasa libremente na DPL Seroe Blanco p’asina yena un formulario di registracion cu ta disponibel na balie of por pasa tambe na oficina di Gobierno den edificio Edison Briesen na San Nicolas	Are you skilled and willing to work for a period in one of the mentioned vacancies? Do have experience in this kind of jobs? If the answer is yes, then you can register at DPL Seroe Blanco to fill out the registration forms available at the counter or you can register at the government’s office in the Edison Briesen building in San Nicolas
Ultimo dia pa registra pa e vacatura nan aki lo ta dia 5 di juli 2019	Last day to register for these vacancies is July 5, 2019
DPL lo percura pa haci un pre-screening pa asina sondea e mihor candidato nan, esnan cu ta cumpli cu e rekisitonan 	 DPL will do a screening to choose the best candidates that comply with all the requirements
DPL ta recomenda tur esnan cu tin experencia y kier traha den sector aki pa pasa registra 	DPL recommends experienced workers that want to work in this sector to register
 Si acaso no a selecta bo pa e proyecto aki, bo nomber lo keda registra na DPL y asina cu drenta otro vacatura nan di construccion y bo persona ta cumpli cu e rekesito nan stipula DPL por yama bo	In case they do not select for this project, they will keep your name on file at DPL and as soon as another vacancy becomes available in the construction sector and if you comply with the requirements DPL will call you
DPL ta haci uzo di e asina yama “matching” caminda cu ora vacatura nan drenta ta bay sondea den e sistema di registracion (databank) pa posibel candidato nan cu ta apto y dispuesto pa yena e vacatura	DPL uses the matching system when as soon as a vacancy becomes available they will look into the registration system (databank) for possible candidates that are qualified and willing to fill that vacancy
Pa e motibo aki ta importante pabo ta registra na DPL ora cu ta buscando un trabao	For this reason, it is important for you to register at the DPL when looking for a job
DPL ta anticipa cu den futuro cercano lo bay tin mester di mas hendenan pa traha den e sector di construccion mirando tur e desaroyonan cu tin andando pa locual ta trata construccion di edificio y infrastructura nan nobo na Aruba	DPL anticipates that in the near future they will need more workers for the construction sector if one takes into account the development regarding the construction of building and infrastructure on Aruba
Prome minister a participa na presentacion di wega di SDG	The Prime Minister participated in the presentation of the SDG Games
 Recientemente Team FUTURA, a bishita varios scol na Aruba pa presenta ‘SDG Board Game’	Recently, the FUTURA Team visited different schools in Aruba to present the ‘SDG Board Game’
E wega di mesa SDG cu ta siña muchanan tocante e 17 Metanan di Desaroyo Sostenibel cu Nacionnan Uni a stipula pa 2030 pa crea un miho mundo	This game teaches children about the 17 Sustainable Development Goals the United Nations stipulated for 2030 to create a better world
Prome Minister Evelyn Wever-Croes a participa na e presentacion duna na alumnonan di klas 6 di St. Aloysius School	Prime Minister Evelyn Wever-Croes participated in the presentation to the students of class 6 of Aloysius primary school
FUTURA ta encarga cu ehecuta e plan di innovacion di Gobierno pa desaroya un futuro di Aruba ancra den innovacion cu e ser humano central	FUTURA is in charge of the implementation of the innovation plan of the government to develop the future of Aruba based on innovation with the human being as the main focus
Desde su existencia, FUTURA a lansa diferente proyecto y iniciativa riba e area di innovacion na diferente scol y luganan pa duna muchanan mas conocemento den e area di innovacion incluyendo e Metanan di Desaroyo Sostenibel	Since its existence, FUTURA launched different projects and initiatives in the area of innovation at different schools y places, the aim is to give children more knowledge on the area of innovation including the Sustainable Development Goals
E meta final: inclusion, caminda ta laga ningun hende atras	 The main goal is inclusion, where no one is left behind
 Pa sigura exito di e SDGs , nos mester inclui nos muchanan	To secure the success of the SDGs, we must include our children
Cuminsa na scolnan pa introduci SDGs na nos generacion cu lo dirigi nos mundo den futuro cu innovacion y nan ta esnan cu pa 2030 mester ta miho para tambe den conocimento di e SDG's	 It is essential to start the introduction of SDGs at schools to our generation who are the leaders of the future, this is done through innovation to students and to the others who should have a better understanding of the SDGs by 2030
Tanto muchanan como e docentenan di e scolnan a gusta epresentacion di e wega di SDG door di FUTURA	The students, as well as the teachers, liked the presentation of the SDG board game by FUTURA
Kehonan riba vehiculonan di motor ATV/UTV	Complaints regarding ATV/UTV
Ultimamente tin hopi keho, specialmente riba plataformanan di social media pa loke ta coremento di “all-terrain Vehicles (ATV)” y “utility task vehicle (UTV)” riba nos isla	 Lately there are many complaints, especially on social media platforms, regarding the use of all-terrain Vehicles (ATV) and utility task vehicle (UTV) on the island
E keho principal ta e destruccion na nos naturalesa y medio ambiente y ta encera; corre na unda ta prohíbi manera riba e duinen y den lama cerca di beach	The main complaint is the destruction of our nature and environment caused by these vehicles driving in prohibited areas, like sand dunes and in the sea near the shoreline
Banda di esaki ta lantamento di stof y tera cu ta causa polucion di aire asina afectando e personanan cu ta biba den e vecindario	In addition, some ATV/UTV off-road drivers create dust clouds and debris, thus causing air pollution and a hindrance to the persons living near these activities
Gobierno tin atencion pa e kehonan di comunidad	These complaints of the community have the government’s attention
Desde fin di april / cuminsamento di mei, Gobierno a pidi conseho di Comision Flora y Fauna pa yega na un solucion	 The government asked advice from the flora and Fauna Commission at the end of April/ start of May for a solution to this issue
E comision aki a keda institui a base di leynan pa proteccion di nos naturalesa	This commission was instituted based on laws for the protection of our nature
Recientmente dia 10 di juni 2019, Gobierno a ricibi e conseho di e comision pa cual inmediatamente a dirigie na diferente departamentonan manera DNM pa nan tambe por duna ‘feedback’	Recently on June 10, 2019,  the Government received the advice from the commission and immediately forwarded it to different departments like the DNM to give their needed feedback
Ta elimina killcage y ta crea dog act shelter	Kill cage will be eliminated substituted with a dog shelter
